Component_name	Value
x1	0.000000000000e+000
x2	0.000000000000e+000
x3	0.000000000000e+000
x4	2.911967100086e-002
x5	0.000000000000e+000
x6	0.000000000000e+000
x7	0.000000000000e+000
x8	0.000000000000e+000
x9	0.000000000000e+000
x10	0.000000000000e+000
x11	0.000000000000e+000
x12	0.000000000000e+000
x13	0.000000000000e+000
x14	0.000000000000e+000
x15	0.000000000000e+000
x16	0.000000000000e+000
x17	0.000000000000e+000
x18	0.000000000000e+000
x19	0.000000000000e+000
x20	0.000000000000e+000
x21	2.616666728514e-001
x22	0.000000000000e+000
x23	0.000000000000e+000
x24	0.000000000000e+000
x25	0.000000000000e+000
x26	0.000000000000e+000
x27	0.000000000000e+000
x28	0.000000000000e+000
x29	0.000000000000e+000
x30	0.000000000000e+000
x31	0.000000000000e+000
x32	0.000000000000e+000
x33	0.000000000000e+000
x34	0.000000000000e+000
x35	0.000000000000e+000
x36	0.000000000000e+000
x37	0.000000000000e+000
x38	0.000000000000e+000
x39	0.000000000000e+000
x40	0.000000000000e+000
x41	0.000000000000e+000
x42	0.000000000000e+000
x43	0.000000000000e+000
x44	0.000000000000e+000
x45	2.527069225587e-001
x46	0.000000000000e+000
x47	0.000000000000e+000
x48	0.000000000000e+000
x49	0.000000000000e+000
x50	0.000000000000e+000
x51	0.000000000000e+000
x52	0.000000000000e+000
x53	0.000000000000e+000
x54	0.000000000000e+000
x55	0.000000000000e+000
x56	3.583057082513e-001
x57	0.000000000000e+000
x58	7.687518834932e-002
x59	0.000000000000e+000
x60	0.000000000000e+000
x61	0.000000000000e+000
x62	0.000000000000e+000
x63	0.000000000000e+000
x64	0.000000000000e+000
x65	0.000000000000e+000
x66	0.000000000000e+000
x67	0.000000000000e+000
x68	0.000000000000e+000
x69	0.000000000000e+000
x70	0.000000000000e+000
x71	0.000000000000e+000
x72	0.000000000000e+000
x73	0.000000000000e+000
x74	0.000000000000e+000
x75	0.000000000000e+000
x76	2.132583698840e-002
