Component_name	Value
x1	2.000000000000e-001
x2	0.000000000000e+000
x3	0.000000000000e+000
x4	0.000000000000e+000
x5	0.000000000000e+000
x6	0.000000000000e+000
x7	3.104877181616e-002
x8	0.000000000000e+000
x9	0.000000000000e+000
x10	0.000000000000e+000
x11	0.000000000000e+000
x12	0.000000000000e+000
x13	0.000000000000e+000
x14	8.643612386092e-002
x15	0.000000000000e+000
x16	0.000000000000e+000
x17	0.000000000000e+000
x18	0.000000000000e+000
x19	0.000000000000e+000
x20	0.000000000000e+000
x21	0.000000000000e+000
x22	0.000000000000e+000
x23	0.000000000000e+000
x24	0.000000000000e+000
x25	0.000000000000e+000
x26	0.000000000000e+000
x27	0.000000000000e+000
x28	0.000000000000e+000
x29	0.000000000000e+000
x30	0.000000000000e+000
x31	0.000000000000e+000
x32	0.000000000000e+000
x33	0.000000000000e+000
x34	0.000000000000e+000
x35	0.000000000000e+000
x36	0.000000000000e+000
x37	0.000000000000e+000
x38	0.000000000000e+000
x39	0.000000000000e+000
x40	0.000000000000e+000
x41	1.268510879023e-001
x42	0.000000000000e+000
x43	0.000000000000e+000
x44	0.000000000000e+000
x45	0.000000000000e+000
x46	0.000000000000e+000
x47	0.000000000000e+000
x48	0.000000000000e+000
x49	0.000000000000e+000
x50	0.000000000000e+000
x51	0.000000000000e+000
x52	4.275493351292e-002
x53	0.000000000000e+000
x54	1.129090829078e-001
x55	0.000000000000e+000
x56	0.000000000000e+000
x57	0.000000000000e+000
x58	0.000000000000e+000
x59	2.000000000000e-001
x60	0.000000000000e+000
x61	0.000000000000e+000
x62	0.000000000000e+000
x63	0.000000000000e+000
x64	2.000000000000e-001
x65	0.000000000000e+000
x66	0.000000000000e+000
x67	0.000000000000e+000
x68	0.000000000000e+000
x69	0.000000000000e+000
x70	0.000000000000e+000
x71	0.000000000000e+000
x72	0.000000000000e+000
x73	0.000000000000e+000
x74	0.000000000000e+000
x75	0.000000000000e+000
x76	0.000000000000e+000
x77	0.000000000000e+000
x78	0.000000000000e+000
x79	0.000000000000e+000
x80	0.000000000000e+000
x81	0.000000000000e+000
x82	0.000000000000e+000
x83	0.000000000000e+000
x84	0.000000000000e+000
x85	0.000000000000e+000
x86	0.000000000000e+000
x87	0.000000000000e+000
x88	0.000000000000e+000
x89	0.000000000000e+000
x90	0.000000000000e+000
