Component_name	Value
x1	2.000000000000e-001
x2	0.000000000000e+000
x3	0.000000000000e+000
x4	0.000000000000e+000
x5	0.000000000000e+000
x6	0.000000000000e+000
x7	0.000000000000e+000
x8	2.000000000000e-001
x9	0.000000000000e+000
x10	0.000000000000e+000
x11	2.000000000000e-001
x12	0.000000000000e+000
x13	0.000000000000e+000
x14	0.000000000000e+000
x15	0.000000000000e+000
x16	0.000000000000e+000
x17	2.000000000000e-001
x18	0.000000000000e+000
x19	0.000000000000e+000
x20	0.000000000000e+000
x21	2.000000000000e-001
x22	0.000000000000e+000
x23	0.000000000000e+000
x24	0.000000000000e+000
x25	0.000000000000e+000
x26	0.000000000000e+000
x27	0.000000000000e+000
x28	0.000000000000e+000
x29	0.000000000000e+000
